Info | Next | Down
999 | 12 | -1
75 | 9 | -1
90 | -1 | 4
30 | 13 | -1
80 | 1 | 6
85 | -1 | -1
55 | 7 | -1
45 | -1 | -1
999 | 0 | -1
15 | -1 | 10
35 | 5 | 11
25 | 3 | -1
999 | -1 | -1
10 | -1 | -1

90 (80 (55 45 )75 15 (35 (25 30 10 )85 ))
Info | Next | Down
999 | 12 | -1
600 | 9 | -1
700 | -1 | 4
30 | 13 | -1
80 | 1 | 6
85 | -1 | -1
55 | 7 | -1
45 | -1 | -1
999 | 0 | -1
15 | -1 | 10
35 | 5 | 11
25 | 3 | -1
999 | -1 | -1
10 | -1 | -1

700 (80 (55 45 )600 15 (35 (25 30 10 )85 ))
700 | -1 | 4
700 
